,image_name,x1,y1,x2,y2
0,image_0001.jpg,37,48,252,144
1,image_0002.jpg,3,21,290,152
2,image_0003.jpg,14,64,268,168
3,image_0004.jpg,35,13,278,153
4,image_0005.jpg,3,52,277,124
5,image_0006.jpg,3,30,297,142
6,image_0007.jpg,13,54,279,189
7,image_0008.jpg,40,5,257,177
8,image_0009.jpg,3,21,300,166
9,image_0010.jpg,58,67,281,204
10,image_0011.jpg,1,15,298,189
11,image_0012.jpg,34,18,291,208
12,image_0013.jpg,8,69,296,226
13,image_0014.jpg,68,45,277,150
14,image_0015.jpg,9,13,260,134
15,image_0016.jpg,49,31,254,148
16,image_0017.jpg,77,34,289,141
17,image_0018.jpg,107,64,238,147
18,image_0019.jpg,60,1,250,132
19,image_0020.jpg,3,32,277,163
20,image_0021.jpg,6,37,298,135
21,image_0022.jpg,21,40,278,148
22,image_0023.jpg,3,61,261,159
23,image_0024.jpg,41,26,281,164
24,image_0025.jpg,47,44,254,185
25,image_0026.jpg,1,37,297,155
26,image_0027.jpg,24,19,274,139
27,image_0028.jpg,3,59,290,153
28,image_0029.jpg,82,13,284,201
29,image_0030.jpg,3,31,300,222
30,image_0031.jpg,31,28,295,136
31,image_0032.jpg,43,26,243,134
32,image_0033.jpg,4,47,269,152
33,image_0034.jpg,2,56,291,189
34,image_0035.jpg,45,56,269,192
35,image_0036.jpg,20,29,261,131
36,image_0037.jpg,22,36,300,144
37,image_0038.jpg,58,9,247,149
38,image_0039.jpg,3,28,297,190
39,image_0040.jpg,4,67,298,174
40,image_0041.jpg,25,43,277,142
41,image_0042.jpg,64,53,241,141
42,image_0043.jpg,50,14,271,155
43,image_0044.jpg,2,33,297,147
44,image_0045.jpg,18,60,280,167
45,image_0046.jpg,30,3,299,168
46,image_0047.jpg,67,69,237,151
47,image_0048.jpg,27,75,266,145
48,image_0049.jpg,57,53,210,122
49,image_0050.jpg,15,46,267,181
50,image_0051.jpg,37,46,251,143
51,image_0052.jpg,3,2,299,125
52,image_0053.jpg,9,18,292,181
53,image_0054.jpg,103,58,253,151
54,image_0055.jpg,3,22,269,225
55,image_0056.jpg,3,39,292,141
56,image_0057.jpg,29,36,284,116
57,image_0058.jpg,48,74,268,166
58,image_0059.jpg,45,68,258,154
59,image_0060.jpg,24,2,289,198
60,image_0061.jpg,3,9,295,107
61,image_0062.jpg,21,65,298,180
62,image_0063.jpg,6,23,299,184
63,image_0064.jpg,29,51,253,143
64,image_0065.jpg,6,2,247,182
65,image_0066.jpg,5,17,297,158
66,image_0067.jpg,51,49,289,133
67,image_0068.jpg,1,13,271,95
68,image_0069.jpg,55,70,228,155
69,image_0070.jpg,55,69,220,152
70,image_0071.jpg,3,42,297,126
71,image_0072.jpg,39,28,278,144
72,image_0073.jpg,31,3,272,206
73,image_0074.jpg,64,28,269,105
74,image_0075.jpg,12,46,283,142
75,image_0076.jpg,41,67,287,165
76,image_0077.jpg,4,29,267,119
77,image_0078.jpg,27,44,296,149
78,image_0079.jpg,16,4,295,186
79,image_0080.jpg,4,3,298,216
80,image_0081.jpg,4,49,290,220
81,image_0082.jpg,2,33,280,211
82,image_0083.jpg,33,49,289,160
83,image_0084.jpg,3,39,291,152
84,image_0085.jpg,12,3,288,123
85,image_0086.jpg,4,63,288,145
86,image_0087.jpg,3,31,295,154
87,image_0088.jpg,3,18,291,157
