,image_name,x1,y1,x2,y2
0,image_0001.jpg,36,27,269,169
1,image_0002.jpg,15,25,255,139
2,image_0003.jpg,80,49,230,161
3,image_0004.jpg,14,38,299,196
4,image_0005.jpg,23,48,281,161
5,image_0006.jpg,17,38,299,176
6,image_0007.jpg,43,11,238,135
7,image_0008.jpg,50,63,283,171
8,image_0009.jpg,91,68,300,162
9,image_0010.jpg,31,40,265,185
10,image_0011.jpg,30,78,256,174
11,image_0012.jpg,32,6,264,130
12,image_0013.jpg,60,37,257,125
13,image_0014.jpg,27,28,254,167
14,image_0015.jpg,48,60,242,188
15,image_0016.jpg,18,18,299,166
16,image_0017.jpg,26,17,268,96
17,image_0018.jpg,21,13,283,105
18,image_0019.jpg,11,21,289,181
19,image_0020.jpg,35,17,263,133
20,image_0021.jpg,4,4,295,206
21,image_0022.jpg,1,50,294,226
22,image_0023.jpg,5,78,296,187
23,image_0024.jpg,34,2,299,127
24,image_0025.jpg,9,4,248,134
25,image_0026.jpg,6,23,300,189
26,image_0027.jpg,42,6,286,92
27,image_0028.jpg,10,55,247,153
28,image_0029.jpg,25,3,284,200
29,image_0030.jpg,6,63,297,194
30,image_0031.jpg,4,31,295,139
31,image_0032.jpg,34,37,299,202
32,image_0033.jpg,26,3,300,210
33,image_0034.jpg,67,40,270,176
34,image_0035.jpg,58,3,276,95
35,image_0036.jpg,32,50,290,187
36,image_0037.jpg,2,4,293,143
37,image_0038.jpg,43,9,300,127
38,image_0039.jpg,15,15,300,125
39,image_0040.jpg,10,39,284,152
40,image_0041.jpg,24,3,296,136
41,image_0042.jpg,28,10,292,255
42,image_0043.jpg,9,33,291,228
43,image_0044.jpg,30,41,250,170
44,image_0045.jpg,15,35,294,120
45,image_0046.jpg,63,8,257,105
46,image_0047.jpg,65,92,245,201
47,image_0048.jpg,82,29,237,153
48,image_0049.jpg,22,17,271,167
49,image_0050.jpg,51,5,297,178
50,image_0051.jpg,75,4,297,178
51,image_0052.jpg,25,5,269,183
52,image_0053.jpg,24,21,275,164
53,image_0054.jpg,21,12,278,160
54,image_0055.jpg,36,29,261,171
55,image_0056.jpg,33,17,258,134
56,image_0057.jpg,28,48,297,211
57,image_0058.jpg,50,14,252,173
58,image_0059.jpg,35,14,260,127
59,image_0060.jpg,16,50,244,137
60,image_0061.jpg,38,20,252,118
61,image_0062.jpg,20,57,288,138
62,image_0063.jpg,38,24,287,167
63,image_0064.jpg,68,17,278,223
64,image_0065.jpg,29,2,274,227
